feature,importance
total_rec_prncp,0.07876809003486353
total_pymnt,0.05883806887524815
total_pymnt_inv,0.05625613759225244
total_rec_int,0.05355513093134745
last_pymnt_amnt,0.0500331813446525
int_rate,0.02966959508700077
issue_d_Jan-2019,0.021129125328012987
installment,0.01980242888931366
dti,0.01747062730041245
out_prncp_inv,0.016858293184471483
total_bal_ex_mort,0.01641297102011915
mths_since_recent_inq,0.015220714904737209
issue_d_Mar-2019,0.015115240704562424
revol_bal,0.014926655663448373
max_bal_bc,0.014899352873994727
out_prncp,0.014881069023035237
mo_sin_old_rev_tl_op,0.014859446582326507
annual_inc,0.014832564501144122
bc_util,0.014613819728800227
tot_hi_cred_lim,0.014487685026878092
mo_sin_old_il_acct,0.013921085423763812
mths_since_rcnt_il,0.013534131593418711
total_rev_hi_lim,0.013364759441576994
avg_cur_bal,0.01332289882475225
bc_open_to_buy,0.013265926832893358
il_util,0.01311545089813887
total_bc_limit,0.01304530062898567
all_util,0.0130446065288952
pct_tl_nvr_dlq,0.013030046723135838
tot_cur_bal,0.012855901280381887
total_il_high_credit_limit,0.01279908506759016
inq_last_12m,0.012773576514405109
total_bal_il,0.011968994260747247
mo_sin_rcnt_tl,0.010982948025240226
loan_amnt,0.010579906006851516
mths_since_recent_bc,0.010575363106694519
num_rev_accts,0.010320067009550682
total_acc,0.010209212170253059
open_acc_6m,0.009753839399393215
num_il_tl,0.009662050208879065
num_actv_rev_tl,0.009632472481996241
mo_sin_rcnt_rev_tl_op,0.009393346012674945
num_bc_tl,0.00872448189550355
num_sats,0.008628938824946404
num_op_rev_tl,0.008330966254402506
num_bc_sats,0.007570544824579072
num_tl_op_past_12m,0.007548811505974241
open_act_il,0.007489717491934961
open_acc,0.007382231721841728
num_rev_tl_bal_gt_0,0.007272665006598051
total_rec_late_fee,0.006998827313196186
num_actv_bc_tl,0.006866662924995743
acc_open_past_24mths,0.006714495620628373
open_il_24m,0.006561432872333855
inq_fi,0.006240598451492287
inq_last_6mths,0.006216409633238659
mort_acc,0.0061708920490257954
total_cu_tl,0.006083218608279307
issue_d_Feb-2019,0.005640206440873574
open_rv_24m,0.005634546230136711
percent_bc_gt_75,0.005131046989565006
next_pymnt_d_Apr-2019,0.005106000423451099
next_pymnt_d_May-2019,0.005036652777545191
open_il_12m,0.004860024796675963
tot_coll_amt,0.004198582835532627
open_rv_12m,0.004018916067963884
num_accts_ever_120_pd,0.0037571920083085985
delinq_2yrs,0.003082852259926947
home_ownership_RENT,0.0029133221443170495
home_ownership_OWN,0.002824523629114469
verification_status_Not Verified,0.002204946377565813
application_type_Joint App,0.0020912385738361574
pub_rec,0.002015258269512615
verification_status_Verified,0.0019325773153555006
application_type_Individual,0.001901604006185586
verification_status_Source Verified,0.0015046400907840708
home_ownership_MORTGAGE,0.0014589723334940362
pub_rec_bankruptcies,0.0013727925120781853
initial_list_status_w,0.0011520703643731528
initial_list_status_f,0.0011005704165634263
num_tl_90g_dpd_24m,0.0009956935704327383
collections_12_mths_ex_med,0.0007150315534652695
home_ownership_ANY,0.0004955956183545533
chargeoff_within_12_mths,0.0002730803587770788
pymnt_plan_n,0.0
hardship_flag_N,0.0
num_tl_30dpd,0.0
tax_liens,0.0
recoveries,0.0
num_tl_120dpd_2m,0.0
collection_recovery_fee,0.0
policy_code,0.0
acc_now_delinq,0.0
delinq_amnt,0.0
debt_settlement_flag_N,0.0
